k141_212958_4	00221	38.066	486	522	508	3.48e-87	271
k141_86167_1	00211	41.410	227	239	337	3.34e-57	179
k141_181260_13	00221	30.664	512	569	508	6.18e-59	197
k141_65335_15	00185	48.193	249	543	305	2.56e-75	234
k141_265587_31	00185	42.991	214	492	305	2.62e-43	149
k141_107468_29	00111	32.727	110	220	210	2.18e-19	76.3
k141_171200_2	00173	30.075	133	156	218	8.94e-09	45.4
k141_129010_2	00215	31.633	294	319	322	3.74e-41	139
k141_160395_2	00211	31.661	319	318	337	6.41e-39	134
k141_54908_4	00221	37.931	493	546	508	2.13e-82	259
k141_244545_3	00178	36.538	208	242	216	3.80e-37	123
k141_202990_79	00211	35.640	289	323	337	2.51e-58	184
k141_287282_17	00223	32.459	305	467	348	5.07e-36	129
k141_244673_1	00221	38.477	486	522	508	4.18e-88	273
k141_287350_1	00178	30.380	158	204	216	1.66e-08	45.8
k141_171405_5	00212	44.610	269	284	285	3.85e-71	214
k141_150536_3	00191	32.850	207	311	240	1.80e-21	84.3
k141_150611_1	00223	30.164	305	318	348	1.71e-34	122
k141_13279_4	00185	46.087	230	583	305	2.00e-52	175
k141_13279_5	00185	41.256	223	595	305	3.23e-46	158
k141_244918_1	00221	35.959	292	372	508	7.44e-48	162
k141_234812_5	00215	32.979	282	331	322	2.63e-44	148
k141_192865_5	00211	34.185	313	299	337	2.85e-42	142
k141_256191_1	00191	31.633	196	369	240	1.59e-14	65.5
k141_244976_1	00211	34.802	227	233	337	3.69e-39	131
k141_13356_5	00178	41.121	214	218	216	1.88e-40	131
k141_65870_7	00211	32.143	224	304	337	7.86e-31	111
k141_308931_4	00111	30.172	116	210	210	2.00e-12	57.0
k141_287885_7	00189	36.296	135	311	248	2.44e-15	67.4
k141_108233_22	00188	31.792	173	298	272	1.32e-14	65.5
k141_171802_2	00211	37.716	289	320	337	7.42e-52	167
k141_66009_5	00211	31.513	238	256	337	1.10e-34	120
k141_245076_2	00185	44.813	241	278	305	6.41e-52	165
k141_13491_16	00211	33.951	324	314	337	2.60e-47	155
k141_256529_2	00178	46.789	109	132	216	3.09e-25	89.0
k141_151006_1	00223	31.274	259	277	348	8.82e-26	97.4
k141_23925_3	00222	40.706	538	538	516	7.12e-112	336
k141_277361_3	00223	32.946	258	353	348	4.41e-26	100
k141_171980_1	00223	34.109	258	379	348	1.98e-34	123
k141_171996_5	00187	30.864	162	329	250	2.35e-10	52.8
k141_224803_1	00178	38.462	182	182	216	2.14e-32	109
k141_298346_182	00185	49.296	213	525	305	3.97e-56	183
k141_277476_3	00181	30.675	163	266	275	6.68e-15	65.9
k141_309522_3	00212	31.557	244	296	285	1.51e-17	73.9
k141_119504_4	00212	30.435	253	265	285	1.99e-24	92.4
k141_309558_16	00209	31.049	467	481	448	5.57e-41	145
k141_161375_2	00111	32.727	110	207	210	1.08e-18	73.9
k141_161380_7	00185	47.414	232	569	305	4.58e-50	168
k141_161395_6	00211	60.968	310	343	337	1.22e-140	395
k141_277533_41	00223	30.282	284	501	348	1.13e-26	103
k141_3580_1	00180	53.172	331	341	541	1.65e-118	346
k141_225124_4	00180	44.366	568	595	541	2.29e-161	466
k141_108903_1	00211	38.628	277	288	337	2.55e-63	196
k141_56251_3	00185	39.565	230	479	305	8.49e-39	136
k141_266995_15	00211	32.937	252	325	337	1.75e-32	116
k141_3633_12	00187	34.848	132	265	250	8.93e-07	41.6
k141_267006_4	00221	30.368	517	516	508	1.66e-52	179
k141_98394_11	00221	31.238	541	581	508	2.57e-55	188
k141_245857_1	00178	36.866	217	314	216	3.62e-34	117
k141_3805_3	00173	41.667	204	226	218	1.11e-44	142
k141_14420_1	00223	30.542	203	374	348	1.71e-21	87.4
k141_120181_2	00191	30.952	126	286	240	1.31e-11	56.2
k141_214652_2	00185	43.556	225	521	305	2.42e-49	165
k141_267454_5	00212	34.028	144	396	285	5.90e-15	67.4
k141_162050_4	00111	30.469	128	197	210	2.56e-13	59.3
k141_289096_17	00185	44.393	214	442	305	1.13e-42	146
